RecordEndDateTime;RecordStartDateTime;RefOrganizationIdentificationSystemId;RefOrganizationIdentifierTypeId;Identifier;OrganizationId;OrganizationIdentifierId
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.010;122;123
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.010.04;123;124
;;;17;CURSO-340;124;125
;;;17;LIBRO-1008;125;126
;;;17;LIBRO-1009;126;127
;;;17;LIBRO-1010;127;128
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.010.05;128;129
;;;17;CURSO-341;129;130
;;;17;LIBRO-1011;130;131
;;;17;LIBRO-1181;131;132
;;;17;LIBRO-1013;132;133
;;;17;LIBRO-1182;133;134
;;;17;LIBRO-1012;134;135
;;;17;LIBRO-1183;135;136
;;;17;LIBRO-1014;136;137
;;;17;LIBRO-1184;137;138
;;;17;LIBRO-1185;138;139
;;;17;LIBRO-1186;139;140
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.010.05;140;141
;;;17;CURSO-342;141;142
;;;17;LIBRO-1016;142;143
;;;17;LIBRO-1017;143;144
;;;17;LIBRO-1018;144;145
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.010.01;145;146
;;;17;CURSO-343;146;147
;;;17;CURSO-344;147;148
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.010.02;148;149
;;;17;CURSO-345;149;150
;;;17;CURSO-346;150;151
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.010.03;151;152
;;;17;CURSO-347;152;153
;;;17;CURSO-348;153;154
;;;17;Regular.tarde;154;155
;;;17;Regular.tarde.EBN;155;156
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL;156;157
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL;157;158
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL;158;159
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple;159;160
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110;160;161
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.01;161;162
;;;17;CURSO-349;162;163
;;;17;LIBRO-1019;163;164
;;;17;LIBRO-1188;164;165
;;;17;LIBRO-1024;165;166
;;;17;LIBRO-1026;166;167
;;;17;LIBRO-1023;167;168
;;;17;LIBRO-1020;168;169
;;;17;LIBRO-1021;169;170
;;;17;LIBRO-1022;170;171
;;;17;LIBRO-1025;171;172
;;;17;Regular.manana.EBN;172;173
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL;173;174
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL;174;175
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL;175;176
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple;176;177
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.110;177;178
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.110.01;178;179
;;;17;CURSO-350;179;180
;;;17;LIBRO-1027;180;181
;;;17;LIBRO-1028;181;182
;;;17;LIBRO-1029;182;183
;;;17;LIBRO-1030;183;184
;;;17;LIBRO-1031;184;185
;;;17;LIBRO-1032;185;186
;;;17;LIBRO-1033;186;187
;;;17;LIBRO-1034;187;188
;;;17;LIBRO-1035;188;189
;;;17;LIBRO-1036;189;190
;;;17;LIBRO-1037;190;191
;;;17;LIBRO-1038;191;192
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.02;192;193
;;;17;CURSO-351;193;194
;;;17;LIBRO-1187;194;195
;;;17;LIBRO-1045;195;196
;;;17;LIBRO-1180;196;197
;;;17;LIBRO-1039;197;198
;;;17;LIBRO-1046;198;199
;;;17;LIBRO-1040;199;200
;;;17;LIBRO-1041;200;201
;;;17;LIBRO-1042;201;202
;;;17;LIBRO-1043;202;203
;;;17;LIBRO-1044;203;204
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple;204;205
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110;205;206
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.02;206;207
;;;17;CURSO-352;207;208
;;;17;LIBRO-1055;208;209
;;;17;LIBRO-1053;209;210
;;;17;LIBRO-1047;210;211
;;;17;LIBRO-1048;211;212
;;;17;LIBRO-1049;212;213
;;;17;LIBRO-1051;213;214
;;;17;LIBRO-1052;214;215
;;;17;LIBRO-1054;215;216
;;;17;LIBRO-1050;216;217
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.03;217;218
;;;17;CURSO-353;218;219
;;;17;LIBRO-1062;219;220
;;;17;LIBRO-1063;220;221
;;;17;LIBRO-1057;221;222
;;;17;LIBRO-1058;222;223
;;;17;LIBRO-1059;223;224
;;;17;LIBRO-1179;224;225
;;;17;LIBRO-1060;225;226
;;;17;LIBRO-1061;226;227
;;;17;LIBRO-1056;227;228
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.03;228;229
;;;17;CURSO-354;229;230
;;;17;LIBRO-1070;230;231
;;;17;LIBRO-1069;231;232
;;;17;LIBRO-1064;232;233
;;;17;LIBRO-1065;233;234
;;;17;LIBRO-1066;234;235
;;;17;LIBRO-1071;235;236
;;;17;LIBRO-1067;236;237
;;;17;LIBRO-1068;237;238
;;;17;Regular.tarde.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.04;238;239
;;;17;CURSO-355;239;240
;;;17;LIBRO-1078;240;241
;;;17;LIBRO-1079;241;242
;;;17;LIBRO-1073;242;243
;;;17;LIBRO-1074;243;244
;;;17;LIBRO-1075;244;245
;;;17;LIBRO-1076;245;246
;;;17;LIBRO-1077;246;247
;;;17;LIBRO-1072;247;248
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple.110.04;248;249
;;;17;CURSO-356;249;250
;;;17;LIBRO-1081;250;251
;;;17;LIBRO-1083;251;252
;;;17;LIBRO-1084;252;253
;;;17;LIBRO-1085;253;254
;;;17;LIBRO-1086;254;255
;;;17;LIBRO-1082;255;256
;;;17;LIBRO-1087;256;257
;;;17;LIBRO-1080;257;258
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.05;258;259
;;;17;CURSO-357;259;260
;;;17;LIBRO-1088;260;261
;;;17;LIBRO-1092;261;262
;;;17;LIBRO-1178;262;263
;;;17;LIBRO-1093;263;264
;;;17;LIBRO-1094;264;265
;;;17;LIBRO-1097;265;266
;;;17;LIBRO-1098;266;267
;;;17;LIBRO-1091;267;268
;;;17;LIBRO-1089;268;269
;;;17;LIBRO-1095;269;270
;;;17;LIBRO-1096;270;271
;;;17;LIBRO-1090;271;272
;;;17;CURSO-358;272;273
;;;17;LIBRO-1099;273;274
;;;17;LIBRO-1100;274;275
;;;17;LIBRO-1101;275;276
;;;17;LIBRO-1102;276;277
;;;17;LIBRO-1103;277;278
;;;17;LIBRO-1104;278;279
;;;17;LIBRO-1105;279;280
;;;17;LIBRO-1106;280;281
;;;17;LIBRO-1107;281;282
;;;17;LIBRO-1108;282;283
;;;17;LIBRO-1109;283;284
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.06;284;285
;;;17;CURSO-359;285;286
;;;17;LIBRO-1114;286;287
;;;17;LIBRO-1115;287;288
;;;17;LIBRO-1116;288;289
;;;17;LIBRO-1118;289;290
;;;17;LIBRO-1119;290;291
;;;17;LIBRO-1113;291;292
;;;17;LIBRO-1111;292;293
;;;17;LIBRO-1120;293;294
;;;17;LIBRO-1110;294;295
;;;17;LIBRO-1117;295;296
;;;17;LIBRO-1112;296;297
;;;17;CURSO-360;297;298
;;;17;LIBRO-1130;298;299
;;;17;LIBRO-1124;299;300
;;;17;LIBRO-1125;300;301
;;;17;LIBRO-1126;301;302
;;;17;LIBRO-1128;302;303
;;;17;LIBRO-1129;303;304
;;;17;LIBRO-1123;304;305
;;;17;LIBRO-1122;305;306
;;;17;LIBRO-1121;306;307
;;;17;LIBRO-1131;307;308
;;;17;LIBRO-1127;308;309
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.07;309;310
;;;17;CURSO-361;310;311
;;;17;LIBRO-1139;311;312
;;;17;LIBRO-1132;312;313
;;;17;LIBRO-1140;313;314
;;;17;LIBRO-1133;314;315
;;;17;LIBRO-1134;315;316
;;;17;LIBRO-1135;316;317
;;;17;LIBRO-1136;317;318
;;;17;LIBRO-1137;318;319
;;;17;LIBRO-1138;319;320
;;;17;LIBRO-1175;320;321
;;;17;LIBRO-1176;321;322
;;;17;Regular.jornada_completa.EBN;322;323
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL;323;324
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL;324;325
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL;325;326
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple;326;327
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110;327;328
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.07;328;329
;;;17;CURSO-362;329;330
;;;17;LIBRO-1143;330;331
;;;17;LIBRO-1148;331;332
;;;17;LIBRO-1149;332;333
;;;17;LIBRO-1144;333;334
;;;17;LIBRO-1146;334;335
;;;17;LIBRO-1147;335;336
;;;17;LIBRO-1145;336;337
;;;17;LIBRO-1150;337;338
;;;17;LIBRO-1142;338;339
;;;17;LIBRO-1151;339;340
;;;17;Regular.manana.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.08;340;341
;;;17;CURSO-363;341;342
;;;17;LIBRO-1152;342;343
;;;17;LIBRO-1160;343;344
;;;17;LIBRO-1153;344;345
;;;17;LIBRO-1154;345;346
;;;17;LIBRO-1156;346;347
;;;17;LIBRO-1157;347;348
;;;17;LIBRO-1158;348;349
;;;17;LIBRO-1159;349;350
;;;17;LIBRO-1161;350;351
;;;17;LIBRO-1155;351;352
;;;17;LIBRO-1177;352;353
;;;17;Regular.jornada_completa.EBN.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.110.08;353;354
;;;17;CURSO-364;354;355
;;;17;LIBRO-1162;355;356
;;;17;LIBRO-1164;356;357
;;;17;LIBRO-1165;357;358
;;;17;LIBRO-1167;358;359
;;;17;LIBRO-1168;359;360
;;;17;LIBRO-1170;360;361
;;;17;LIBRO-1171;361;362
;;;17;LIBRO-1166;362;363
;;;17;LIBRO-1169;363;364
;;;17;LIBRO-1163;364;365
;;;17;CURSO-365;365;366
