RecordEndDateTime;RecordStartDateTime;RefOrganizationTypeId;RegionGeoJSON;Name;OrganizationId;ShortName
;;22;;Educación Física y Salud;197;Educación Física y Salud
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;198;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Idioma Extranjero 1 (Ingles);199;Idioma Extranjero 1 (Ingles)
;;22;;Lenguaje y Comunicación;200;Lenguaje y Comunicación
;;22;;Matemática;201;Matemática
;;22;;Tecnología;202;Tecnología
;;22;;Religión;203;Religión
;;44;;01:Simple;204;01:Simple
;;45;;110:Enseñanza Básica;205;110:Enseñanza Básica
;;46;;110.02:2º Básico;206;110.02:2º Básico
;;21;;B;207;B
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;208;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Educación Física;209;Educación Física
;;22;;Idioma Extranjero 1 (Ingles);210;Idioma Extranjero 1 (Ingles)
;;22;;Lenguaje y Comunicación;211;Lenguaje y Comunicación
;;22;;Matemática;212;Matemática
;;22;;Tecnología;213;Tecnología
;;22;;Religión;214;Religión
;;22;;Educación Artística;215;Educación Artística
;;22;;Orientación;216;Orientación
;;46;;110.03:3º Básico;217;110.03:3º Básico
;;21;;A;218;A
;;22;;Educación Artística;219;Educación Artística
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;220;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Idioma Extranjero 1 (Ingles);221;Idioma Extranjero 1 (Ingles)
;;22;;Lenguaje y Comunicación;222;Lenguaje y Comunicación
;;22;;Matemática;223;Matemática
;;22;;Tecnología;224;Tecnología
;;22;;Tecnología;225;Tecnología
;;22;;Religión;226;Religión
;;22;;Educación Física y Salud;227;Educación Física y Salud
;;46;;110.03:3º Básico;228;110.03:3º Básico
;;21;;B;229;B
;;22;;Educación Artística;230;Educación Artística
;;22;;Educación Física;231;Educación Física
;;22;;Idioma Extranjero 1 (Ingles);232;Idioma Extranjero 1 (Ingles)
;;22;;Lenguaje y Comunicación;233;Lenguaje y Comunicación
;;22;;Matemática;234;Matemática
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;235;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Tecnología;236;Tecnología
;;22;;Religión;237;Religión
;;46;;110.04:4º Básico;238;110.04:4º Básico
;;21;;A;239;A
;;22;;Educación Artística;240;Educación Artística
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;241;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Idioma Extranjero 1 (Ingles);242;Idioma Extranjero 1 (Ingles)
;;22;;Lenguaje y Comunicación;243;Lenguaje y Comunicación
;;22;;Matemática;244;Matemática
;;22;;Tecnología;245;Tecnología
;;22;;Religión;246;Religión
;;22;;Educación Física y Salud;247;Educación Física y Salud
;;46;;110.04:4º Básico;248;110.04:4º Básico
;;21;;B;249;B
;;22;;Idioma Extranjero 1 (Ingles);250;Idioma Extranjero 1 (Ingles)
;;22;;Matemática;251;Matemática
;;22;;Tecnología;252;Tecnología
;;22;;Religión;253;Religión
;;22;;Educación Artística;254;Educación Artística
;;22;;Lenguaje y Comunicación;255;Lenguaje y Comunicación
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;256;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Educación Física y Salud;257;Educación Física y Salud
;;46;;110.05:5º Básico;258;110.05:5º Básico
;;21;;A;259;A
;;22;;Artes Visuales;260;Artes Visuales
;;22;;Idioma Extranjero: Inglés;261;Idioma Extranjero: Inglés
;;22;;Lenguaje y Comunicación;262;Lenguaje y Comunicación
;;22;;Lenguaje y Comunicación;263;Lenguaje y Comunicación
;;22;;Matemática;264;Matemática
;;22;;Tecnología;265;Tecnología
;;22;;Religión;266;Religión
;;22;;Historia, Geografía y Ciencias Sociales;267;Historia, Geografía y Ciencias Sociales
;;22;;Ciencias Naturales;268;Ciencias Naturales
;;22;;Música;269;Música
;;22;;Orientación;270;Orientación
;;22;;Educación Física y Salud;271;Educación Física y Salud
;;21;;B;272;B
;;22;;Artes Visuales;273;Artes Visuales
;;22;;Ciencias Naturales;274;Ciencias Naturales
;;22;;Educación Física y Salud;275;Educación Física y Salud
;;22;;Historia, Geografía y Ciencias Sociales;276;Historia, Geografía y Ciencias Sociales
;;22;;Lenguaje y Comunicación;277;Lenguaje y Comunicación
;;22;;Matemática;278;Matemática
;;22;;Música;279;Música
;;22;;Orientación;280;Orientación
;;22;;Tecnología;281;Tecnología
;;22;;Religión;282;Religión
;;22;;Idioma Extranjero: Inglés;283;Idioma Extranjero: Inglés
;;46;;110.06:6º Básico;284;110.06:6º Básico
;;21;;A;285;A
;;22;;Idioma Extranjero: Inglés;286;Idioma Extranjero: Inglés
;;22;;Lenguaje y Comunicación;287;Lenguaje y Comunicación
;;22;;Matemática;288;Matemática
;;22;;Tecnología;289;Tecnología
;;22;;Religión;290;Religión
;;22;;Historia, Geografía y Ciencias Sociales;291;Historia, Geografía y Ciencias Sociales
;;22;;Ciencias Naturales;292;Ciencias Naturales
;;22;;Música;293;Música
;;22;;Artes Visuales;294;Artes Visuales
;;22;;Orientación;295;Orientación
;;22;;Educación Física y Salud;296;Educación Física y Salud
;;21;;B;297;B
;;22;;Educación Física y Salud;298;Educación Física y Salud
;;22;;Idioma Extranjero: Inglés;299;Idioma Extranjero: Inglés
;;22;;Lenguaje y Comunicación;300;Lenguaje y Comunicación
;;22;;Matemática;301;Matemática
;;22;;Tecnología;302;Tecnología
;;22;;Religión;303;Religión
;;22;;Historia, Geografía y Ciencias Sociales;304;Historia, Geografía y Ciencias Sociales
;;22;;Ciencias Naturales;305;Ciencias Naturales
;;22;;Artes Visuales;306;Artes Visuales
;;22;;Música;307;Música
;;22;;Orientación;308;Orientación
;;46;;110.07:7º Básico;309;110.07:7º Básico
;;21;;A;310;A
;;22;;Lengua y Literatura;311;Lengua y Literatura
;;22;;Ciencias Naturales;312;Ciencias Naturales
;;22;;Educación Física y Salud;313;Educación Física y Salud
;;22;;Historia, Geografía y Ciencias Sociales;314;Historia, Geografía y Ciencias Sociales
;;22;;Matemática;315;Matemática
;;22;;Orientación;316;Orientación
;;22;;Tecnología;317;Tecnología
;;22;;Religión;318;Religión
;;22;;Idioma Extranjero: Inglés;319;Idioma Extranjero: Inglés
;;22;;Música;320;Música
;;22;;Artes Visuales;321;Artes Visuales
;;40;;02:Enseñanza Básica Niños;322;02:Enseñanza Básica Niños
;;41;;000:Ciclo General;323;000:Ciclo General
;;42;;000:Ciclo General;324;000:Ciclo General
;;43;;000:Ciclo General;325;000:Ciclo General
;;44;;01:Simple;326;01:Simple
;;45;;110:Enseñanza Básica;327;110:Enseñanza Básica
;;46;;110.07:7º Básico;328;110.07:7º Básico
;;21;;B;329;B
;;22;;Historia, Geografía y Ciencias Sociales;330;Historia, Geografía y Ciencias Sociales
;;22;;Idioma Extranjero: Inglés;331;Idioma Extranjero: Inglés
;;22;;Lengua y Literatura;332;Lengua y Literatura
;;22;;Matemática;333;Matemática
;;22;;Tecnología;334;Tecnología
;;22;;Religión;335;Religión
;;22;;Orientación;336;Orientación
;;22;;Educación Física;337;Educación Física
;;22;;Ciencias Naturales;338;Ciencias Naturales
;;22;;Educación Artística;339;Educación Artística
;;46;;110.08:8º Básico;340;110.08:8º Básico
;;21;;A;341;A
;;22;;Ciencias Naturales;342;Ciencias Naturales
;;22;;Educación Física y Salud;343;Educación Física y Salud
;;22;;Historia, Geografía y Ciencias Sociales;344;Historia, Geografía y Ciencias Sociales
;;22;;Matemática;345;Matemática
;;22;;Tecnología;346;Tecnología
;;22;;Religión;347;Religión
;;22;;Idioma Extranjero: Inglés;348;Idioma Extranjero: Inglés
;;22;;Lengua y Literatura;349;Lengua y Literatura
;;22;;Artes Visuales;350;Artes Visuales
;;22;;Orientación;351;Orientación
;;22;;Música;352;Música
;;46;;110.08:8º Básico;353;110.08:8º Básico
;;21;;B;354;B
;;22;;Ciencias Naturales;355;Ciencias Naturales
;;22;;Historia, Geografía y Ciencias Sociales;356;Historia, Geografía y Ciencias Sociales
;;22;;Matemática;357;Matemática
;;22;;Tecnología;358;Tecnología
;;22;;Religión;359;Religión
;;22;;Lengua y Literatura;360;Lengua y Literatura
;;22;;Educación Artística;361;Educación Artística
;;22;;Orientación;362;Orientación
;;22;;Idioma Extranjero: Inglés;363;Idioma Extranjero: Inglés
;;22;;Educación Física y Salud;364;Educación Física y Salud
;;21;;Z;365;Z
