AttendanceRate;NumberOfDaysAbsent;NumberOfDaysInAttendance;RecordEndDateTime;RecordStartDateTime;OrganizationPersonRoleId;RoleAttendanceId
86.66666666666667;24;156;;;10101689;82
82.22222222222221;32;148;;;10101690;83
91.66666666666666;15;165;;;10101691;84
84.44444444444444;28;152;;;10101692;85
91.11111111111111;16;164;;;10101693;86
98.33333333333333;3;177;;;10101694;87
89.44444444444444;19;161;;;10101695;88
99.44444444444444;1;179;;;10101696;89
75.55555555555556;44;136;;;10101697;90
81.66666666666667;33;147;;;10101699;91
93.33333333333333;12;168;;;10101700;92
95.55555555555556;8;172;;;10101701;93
97.77777777777777;4;176;;;10101702;94
97.77777777777777;4;176;;;10101703;95
90;18;162;;;10101704;96
96.66666666666667;6;174;;;10101705;97
99.44444444444444;1;179;;;10101706;98
97.22222222222221;5;175;;;10101707;99
93.88888888888889;11;169;;;10101708;100
95;9;171;;;10101709;101
100;0;180;;;10101710;102
100;0;180;;;10101711;103
96.11111111111111;7;173;;;10101712;104
97.77777777777777;4;176;;;10101714;105
88.88888888888889;20;160;;;10101715;106
87.77777777777777;22;158;;;10101716;107
92.22222222222223;14;166;;;10101717;108
93.33333333333333;12;168;;;10101718;109
90.55555555555556;17;163;;;10101719;110
93.33333333333333;12;168;;;10101720;111
96.11111111111111;7;173;;;10101721;112
98.88888888888889;2;178;;;10101722;113
92.77777777777779;13;167;;;10101723;114
92.22222222222223;14;166;;;10101725;115
93.33333333333333;12;168;;;10101726;116
97.22222222222221;5;175;;;10101727;117
83.88888888888889;29;151;;;10101728;118
86.66666666666667;24;156;;;10101729;119
90;18;162;;;10101730;120
47.77777777777778;94;86;;;10101731;121
91.66666666666666;15;165;;;10101732;122
97.22222222222221;5;175;;;10101733;123
75;45;135;;;10101735;124
91.11111111111111;16;164;;;10101736;125
87.77777777777777;22;158;;;10101737;126
87.22222222222223;23;157;;;10101738;127
99.44444444444444;1;179;;;10101739;128
69.44444444444444;55;125;;;10101740;129
82.22222222222221;32;148;;;10101741;130
93.33333333333333;12;168;;;10101742;131
98.88888888888889;2;178;;;10101743;132
91.66666666666666;15;165;;;10101744;133
76.66666666666667;42;138;;;10101745;134
76.11111111111111;43;137;;;10101746;135
73.88888888888889;47;133;;;10101747;136
88.88888888888889;20;160;;;10101748;137
88.33333333333333;21;159;;;10101749;138
82.22222222222221;32;148;;;10101750;139
96.66666666666667;6;174;;;10101751;140
93.33333333333333;12;168;;;10101752;141
87.22222222222223;23;157;;;10101753;142
87.77777777777777;22;158;;;10101756;143
93.33333333333333;12;168;;;10101757;144
97.22222222222221;5;175;;;10101758;145
87.22222222222223;23;157;;;10101759;146
98.33333333333333;3;177;;;10101760;147
88.88888888888889;20;160;;;10101761;148
95.55555555555556;8;172;;;10101762;149
87.22222222222223;23;157;;;10101764;150
88.88888888888889;20;160;;;10101765;151
92.77777777777779;13;167;;;10101766;152
87.77777777777777;22;158;;;10101768;153
90;18;162;;;10101769;154
71.11111111111111;52;128;;;10101770;155
78.33333333333333;39;141;;;10101771;156
92.77777777777779;13;167;;;10101772;157
91.66666666666666;15;165;;;10101773;158
96.11111111111111;7;173;;;10101774;159
86.66666666666667;24;156;;;10101776;160
93.33333333333333;12;168;;;10101777;161
80;36;144;;;10101778;162
90.55555555555556;17;163;;;10101779;163
92.77777777777779;13;167;;;10101780;164
91.66666666666666;15;165;;;10101781;165
95.55555555555556;8;172;;;10101782;166
82.77777777777777;31;149;;;10101783;167
78.33333333333333;39;141;;;10101784;168
89.44444444444444;19;161;;;10101785;169
88.88888888888889;20;160;;;10101786;170
99.44444444444444;1;179;;;10101787;171
92.22222222222223;14;166;;;10101788;172
92.22222222222223;14;166;;;10101789;173
86.11111111111111;25;155;;;10101790;174
89.44444444444444;19;161;;;10101791;175
88.88888888888889;20;160;;;10101792;176
93.88888888888889;11;169;;;10101793;177
88.88888888888889;20;160;;;10101794;178
70;54;126;;;10101795;179
87.22222222222223;23;157;;;10101796;180
91.11111111111111;16;164;;;10101797;181
83.33333333333334;30;150;;;10101798;182
73.88888888888889;47;133;;;10101799;183
84.44444444444444;28;152;;;10101800;184
88.88888888888889;20;160;;;10101801;185
84.44444444444444;28;152;;;10101802;186
98.33333333333333;3;177;;;10101803;187
87.77777777777777;22;158;;;10101857;188
66.66666666666666;60;120;;;10101858;189
91.66666666666666;15;165;;;10101860;190
91.11111111111111;16;164;;;10101861;191
89.44444444444444;19;161;;;10101862;192
83.33333333333334;30;150;;;10101864;193
85;27;153;;;10101865;194
64.44444444444444;64;116;;;10101866;195
88.33333333333333;21;159;;;10101867;196
99.44444444444444;1;179;;;10101868;197
77.77777777777779;40;140;;;10101869;198
83.33333333333334;30;150;;;10101870;199
86.66666666666667;24;156;;;10101871;200
90.55555555555556;17;163;;;10101872;201
78.33333333333333;39;141;;;10101874;202
95.55555555555556;8;172;;;10101877;203
92.77777777777779;13;167;;;10101878;204
96.66666666666667;6;174;;;10101879;205
85.55555555555556;26;154;;;10101880;206
92.22222222222223;14;166;;;10101881;207
91.11111111111111;16;164;;;10101882;208
90;18;162;;;10101883;209
85;27;153;;;10101884;210
91.11111111111111;16;164;;;10101885;211
93.33333333333333;12;168;;;10101886;212
93.88888888888889;11;169;;;10101887;213
90;18;162;;;10101888;214
92.22222222222223;14;166;;;10101889;215
98.33333333333333;3;177;;;10101890;216
84.44444444444444;28;152;;;10101891;217
81.11111111111111;34;146;;;10101892;218
87.77777777777777;22;158;;;10101893;219
74.44444444444444;46;134;;;10101894;220
98.33333333333333;3;177;;;10101896;221
85;27;153;;;10101897;222
58.88888888888889;74;106;;;10101898;223
90.55555555555556;17;163;;;10101899;224
93.88888888888889;11;169;;;10101900;225
100;0;180;;;10101901;226
96.11111111111111;7;173;;;10101902;227
93.33333333333333;12;168;;;10101903;228
98.88888888888889;2;178;;;10101904;229
92.77777777777779;13;167;;;10101906;230
89.44444444444444;19;161;;;10101907;231
75;45;135;;;10101908;232
94.44444444444444;10;170;;;10101909;233
75.55555555555556;44;136;;;10101910;234
83.33333333333334;30;150;;;10101912;235
77.22222222222223;41;139;;;10101913;236
90;18;162;;;10101914;237
78.33333333333333;39;141;;;10101915;238
85;27;153;;;10101916;239
74.44444444444444;46;134;;;10101917;240
73.33333333333333;48;132;;;10101918;241
63.33333333333333;66;114;;;10101919;242
87.77777777777777;22;158;;;10101920;243
77.22222222222223;41;139;;;10101921;244
81.66666666666667;33;147;;;10101923;245
82.77777777777777;31;149;;;10101924;246
88.88888888888889;20;160;;;10101925;247
67.77777777777779;58;122;;;10101926;248
87.77777777777777;22;158;;;10101927;249
88.33333333333333;21;159;;;10101928;250
89.44444444444444;19;161;;;10101929;251
90.55555555555556;17;163;;;10101930;252
91.11111111111111;16;164;;;10101931;253
97.22222222222221;5;175;;;10101932;254
88.88888888888889;20;160;;;10101933;255
82.77777777777777;31;149;;;10101934;256
99.44444444444444;1;179;;;10101935;257
83.88888888888889;29;151;;;10101936;258
91.66666666666666;15;165;;;10101937;259
98.33333333333333;3;177;;;10101938;260
63.33333333333333;66;114;;;10101939;261
69.44444444444444;55;125;;;10101940;262
61.111111111111114;70;110;;;10101941;263
85.55555555555556;26;154;;;10101942;264
80.55555555555556;35;145;;;10101943;265
97.77777777777777;4;176;;;10101944;266
78.88888888888889;38;142;;;10101945;267
95.55555555555556;8;172;;;10101946;268
95.55555555555556;8;172;;;10101947;269
82.77777777777777;31;149;;;10101948;270
72.77777777777777;49;131;;;10101949;271
65.55555555555556;62;118;;;10101950;272
80;36;144;;;10101951;273
79.44444444444444;37;143;;;10101952;274
100;0;180;;;10101955;275
77.22222222222223;41;139;;;10101956;276
82.22222222222221;32;148;;;10101957;277
95.55555555555556;8;172;;;10101958;278
100;0;180;;;10101959;279
86.11111111111111;25;155;;;10101960;280
80;36;144;;;10101961;281
98.88888888888889;2;178;;;10101962;282
97.77777777777777;4;176;;;10101963;283
81.66666666666667;33;147;;;10101964;284
98.33333333333333;3;177;;;10101965;285
22.22222222222222;140;40;;;10101966;286
82.22222222222221;32;148;;;10101969;287
96.66666666666667;6;174;;;10101970;288
96.66666666666667;6;174;;;10101971;289
100;0;180;;;10101972;290
71.11111111111111;52;128;;;10101974;291
98.33333333333333;3;177;;;10101975;292
66.66666666666666;60;120;;;10101977;293
98.33333333333333;3;177;;;10101978;294
53.333333333333336;84;96;;;10101979;295
91.11111111111111;16;164;;;10101980;296
66.11111111111111;61;119;;;10101982;297
83.88888888888889;29;151;;;10101983;298
98.88888888888889;2;178;;;10101984;299
94.44444444444444;10;170;;;10101985;300
100;0;180;;;10101986;301
87.77777777777777;22;158;;;10101987;302
92.77777777777779;13;167;;;10101988;303
82.22222222222221;32;148;;;10101989;304
88.33333333333333;21;159;;;10101990;305
82.22222222222221;32;148;;;10101991;306
60.55555555555555;71;109;;;10101992;307
86.66666666666667;24;156;;;10101993;308
96.11111111111111;7;173;;;10101994;309
86.66666666666667;24;156;;;10101995;310
87.77777777777777;22;158;;;10101996;311
77.22222222222223;41;139;;;10101997;312
83.88888888888889;29;151;;;10101998;313
95;9;171;;;10102000;314
95;9;171;;;10102001;315
81.11111111111111;34;146;;;10102002;316
70;54;126;;;10102003;317
100;0;180;;;10102004;318
94.44444444444444;10;170;;;10102005;319
93.88888888888889;11;169;;;10102006;320
77.77777777777779;40;140;;;10102007;321
61.111111111111114;70;110;;;10102008;322
87.22222222222223;23;157;;;10102009;323
93.33333333333333;12;168;;;10102010;324
93.33333333333333;12;168;;;10102011;325
80;36;144;;;10102012;326
82.77777777777777;31;149;;;10102013;327
86.11111111111111;25;155;;;10102014;328
90.55555555555556;17;163;;;10102015;329
88.88888888888889;20;160;;;10102016;330
79.44444444444444;37;143;;;10102017;331
90;18;162;;;10102018;332
75;45;135;;;10102019;333
96.66666666666667;6;174;;;10102020;334
92.22222222222223;14;166;;;10102021;335
86.11111111111111;25;155;;;10102022;336
76.66666666666667;42;138;;;10102023;337
97.22222222222221;5;175;;;10102024;338
81.11111111111111;34;146;;;10102025;339
83.33333333333334;30;150;;;10102026;340
82.77777777777777;31;149;;;10102027;341
100;0;180;;;10102028;342
100;0;180;;;10102029;343
82.77777777777777;31;149;;;10102030;344
90;18;162;;;10102031;345
92.22222222222223;14;166;;;10102032;346
97.77777777777777;4;176;;;10102033;347
100;0;180;;;10102034;348
100;0;180;;;10102035;349
73.33333333333333;48;132;;;10102036;350
88.33333333333333;21;159;;;10102037;351
68.88888888888889;56;124;;;10102038;352
95;9;171;;;10102039;353
100;0;180;;;10102040;354
94.44444444444444;10;170;;;10102041;355
66.66666666666666;60;120;;;10102042;356
86.11111111111111;25;155;;;10102043;357
95;9;171;;;10102045;358
64.44444444444444;64;116;;;10102046;359
85;27;153;;;10102047;360
94.44444444444444;10;170;;;10102048;361
97.77777777777777;4;176;;;10102049;362
84.44444444444444;28;152;;;10102051;363
88.33333333333333;21;159;;;10102052;364
89.44444444444444;19;161;;;10102053;365
81.66666666666667;33;147;;;10102054;366
97.77777777777777;4;176;;;10102055;367
90;18;162;;;10102056;368
90;18;162;;;10102057;369
91.11111111111111;16;164;;;10102058;370
96.66666666666667;6;174;;;10102059;371
75.55555555555556;44;136;;;10102060;372
77.22222222222223;41;139;;;10102061;373
90;18;162;;;10102062;374
79.44444444444444;37;143;;;10102063;375
71.11111111111111;52;128;;;10102064;376
83.88888888888889;29;151;;;10102065;377
82.22222222222221;32;148;;;10102066;378
85;27;153;;;10102067;379
58.88888888888889;74;106;;;10102068;380
58.333333333333336;75;105;;;10102070;381
81.11111111111111;34;146;;;10102071;382
81.66666666666667;33;147;;;10102072;383
84.44444444444444;28;152;;;10102073;384
67.77777777777779;58;122;;;10102074;385
95;9;171;;;10102075;386
96.11111111111111;7;173;;;10102076;387
74.44444444444444;46;134;;;10102077;388
80.55555555555556;35;145;;;10102078;389
69.44444444444444;55;125;;;10102079;390
42.22222222222222;104;76;;;10102080;391
97.77777777777777;4;176;;;10102081;392
88.88888888888889;20;160;;;10102083;393
85.55555555555556;26;154;;;10102084;394
96.66666666666667;6;174;;;10102085;395
93.88888888888889;11;169;;;10102086;396
90;18;162;;;10102087;397
94.44444444444444;10;170;;;10102088;398
72.22222222222221;50;130;;;10102089;399
86.11111111111111;25;155;;;10102090;400
73.33333333333333;48;132;;;10102091;401
92.22222222222223;14;166;;;10102092;402
18.333333333333332;147;33;;;10102093;403
66.66666666666666;60;120;;;10102094;404
96.66666666666667;6;174;;;10102095;405
76.11111111111111;43;137;;;10102096;406
94.44444444444444;10;170;;;10102097;407
12.222222222222221;158;22;;;10102099;408
88.88888888888889;20;160;;;10102100;409
88.88888888888889;20;160;;;10102101;410
94.44444444444444;10;170;;;10102102;411
94.44444444444444;10;170;;;10102103;412
17.22222222222222;149;31;;;10102105;413
64.44444444444444;64;116;;;10102107;414
55.00000000000001;81;99;;;10102108;415
91.11111111111111;16;164;;;10102109;416
73.33333333333333;48;132;;;10102110;417
62.22222222222222;68;112;;;10102111;418
95;9;171;;;10102112;419
96.11111111111111;7;173;;;10102113;420
97.22222222222221;5;175;;;10102114;421
75;45;135;;;10102115;422
88.88888888888889;20;160;;;10102116;423
88.33333333333333;21;159;;;10102117;424
71.11111111111111;52;128;;;10102118;425
93.33333333333333;12;168;;;10102120;426
90;18;162;;;10102122;427
82.77777777777777;31;149;;;10102123;428
87.77777777777777;22;158;;;10102124;429
95;9;171;;;10102125;430
99.44444444444444;1;179;;;10102126;431
93.88888888888889;11;169;;;10102508;432
