RecordEndDateTime;RecordStartDateTime;RefCalendarEventType;EventDate;rexNumber;rexDate;fileScanBase64;indicadorSinClases;Name;OrganizationCalendarEventId;OrganizationCalendarId
;;;2024-07-14;;;;;Feriado: FERIADO;57;888999
;;;2024-07-16;;;;;Feriado: FERIADO;58;888999
;;;2024-07-15;;;;;Feriado: FERIADO;59;888999
;;;2024-07-20;;;;;Feriado: FERIADO;60;888999
;;;2024-07-21;;;;;Feriado: FERIADO;61;888999
;;;2024-07-27;;;;;Feriado: FERIADO;62;888999
;;;2024-07-28;;;;;Feriado: FERIADO;63;888999
;;;2024-06-13;;;;;Feriado: EMERGENCIA;64;888999
;;;2024-06-14;;;;;Feriado: EMERGENCIA ;65;888999
;;;2024-08-03;;;;;Feriado: FERIADO;66;888999
;;;2024-08-04;;;;;Feriado: FERIADO;67;888999
;;;2024-08-10;;;;;Feriado: FERIADO;68;888999
;;;2024-08-11;;;;;Feriado: FERIADO;69;888999
;;;2024-08-15;;;;;Feriado: FERIADO;70;888999
;;;2024-08-16;;;;;Feriado: FERIADO;71;888999
;;;2024-08-17;;;;;Feriado: FERIADO ;72;888999
;;;2024-08-18;;;;;Feriado: FERIADO;73;888999
;;;2024-08-19;;;;;Feriado: FERIADO;74;888999
;;;2024-08-20;;;;;Feriado: FERIADO;75;888999
;;;2024-08-24;;;;;Feriado: FERIADO;76;888999
;;;2024-08-25;;;;;Feriado: FERIADO;77;888999
;;;2024-08-31;;;;;Feriado: FERIADO;78;888999
;;;2024-09-01;;;;;Feriado: FERIADO;79;888999
;;;2024-09-07;;;;;Feriado: FERIADO;80;888999
;;;2024-09-08;;;;;Feriado: FERIADO;81;888999
;;;2024-09-14;;;;;Feriado: FERIADO;82;888999
;;;2024-09-15;;;;;Feriado: FERIADO;83;888999
;;;2024-09-16;;;;;Feriado: FERIADO;84;888999
;;;2024-09-17;;;;;Feriado: FERIADO;85;888999
;;;2024-09-18;;;;;Feriado: FERIADO;86;888999
;;;2024-09-19;;;;;Feriado: FERIADO;87;888999
;;;2024-09-20;;;;;Feriado: FERIADO;88;888999
;;;2024-09-21;;;;;Feriado: FERIADO;89;888999
;;;2024-09-22;;;;;Feriado: FERIADO;90;888999
;;;2024-09-28;;;;;Feriado: FERIADO;91;888999
;;;2024-09-29;;;;;Feriado: FERIADO;92;888999
;;;2024-03-01;;;;;Feriado: FERIADO;93;888999
;;;2024-03-04;;;;;Feriado: FERIADO;94;888999
;;;2024-10-05;;;;;Feriado: FERIADO;95;888999
;;;2024-10-06;;;;;Feriado: FERIADO;96;888999
;;;2024-10-12;;;;;Feriado: FERIADO;97;888999
;;;2024-10-13;;;;;Feriado: FERIADO;98;888999
;;;2024-10-19;;;;;Feriado: FERIADO;99;888999
;;;2024-10-20;;;;;Feriado: FERIADO;100;888999
;;;2024-10-26;;;;;Feriado: FERIADO;101;888999
;;;2024-10-27;;;;;Feriado: FERIADO;102;888999
;;;2024-10-31;;;;;Feriado: FERIADO;103;888999
;;;2024-11-01;;;;;Feriado: FERIADO;104;888999
;;;2024-11-02;;;;;Feriado: FERIADO;105;888999
;;;2024-11-03;;;;;Feriado: FERIADO ;106;888999
;;;2024-11-09;;;;;Feriado: FERIADO;107;888999
;;;2024-11-10;;;;;Feriado: FERIADO;108;888999
;;;2024-11-16;;;;;Feriado: FERIADO;109;888999
;;;2024-11-17;;;;;Feriado: FERIADO;110;888999
;;;2024-11-23;;;;;Feriado: FERIADO;111;888999
;;;2024-11-24;;;;;Feriado: FERIADO;112;888999
;;;2024-10-24;;;;;Feriado: FERIADO;113;888999
;;;2024-10-25;;;;;Feriado: FERIADO;114;888999
;;;2024-10-28;;;;;Feriado: FERIADO;115;888999
;;;2024-12-01;;;;;Feriado: FERIADO;116;888999
;;;2024-12-07;;;;;Feriado: FERIADO;117;888999
;;;2024-12-08;;;;;Feriado: FERIADO;118;888999
;;;2024-12-14;;;;;Feriado: FERIADO;119;888999
;;;2024-12-15;;;;;Feriado: FERIADO;120;888999
;;;2024-12-21;;;;;Feriado: FERIADO;121;888999
;;;2024-12-22;;;;;Feriado: FERIADO;122;888999
;;;2024-12-25;;;;;Feriado: FERIADO;123;888999
;;;2024-12-28;;;;;Feriado: FERIADO;124;888999
;;;2024-12-29;;;;;Feriado: FERIADO;125;888999
;;;2024-12-31;;;;;Feriado: FERIADO ;126;888999
