GradePointAverageGivenSession;OrganizationCalendarSessionId;RecordEndDateTime;RecordStartDateTime;K12StudentSessionId;OrganizationPersonRoleId
4.70;352;;;136;10105324
4.80;353;;;137;10105325
4.90;354;;;138;10105325
5.80;353;;;139;10105326
6.10;354;;;140;10105326
4.50;347;;;141;10105327
4.50;348;;;142;10105327
5.30;351;;;143;10105328
5.30;352;;;144;10105328
5.50;343;;;145;10105329
5.90;344;;;146;10105329
3.80;353;;;147;10105330
5.00;354;;;148;10105330
4.40;339;;;149;10105331
4.50;340;;;150;10105331
5.50;343;;;151;10105332
5.80;344;;;152;10105332
5.30;339;;;153;10105333
5.10;340;;;154;10105333
5.90;343;;;155;10105334
5.80;344;;;156;10105334
6.00;343;;;157;10105335
5.70;344;;;158;10105335
5.60;343;;;159;10105336
5.50;344;;;160;10105336
4.60;347;;;161;10105337
4.50;348;;;162;10105337
4.60;343;;;163;10105338
5.30;344;;;164;10105338
6.30;369;;;165;10105339
5.90;370;;;166;10105339
5.50;355;;;167;10105340
5.40;356;;;168;10105340
4.00;357;;;169;10105341
5.10;358;;;170;10105341
5.40;353;;;171;10105342
5.20;354;;;172;10105342
6.70;339;;;173;10105343
6.60;340;;;174;10105343
5.90;339;;;175;10105344
6.20;340;;;176;10105344
6.00;339;;;177;10105345
6.10;340;;;178;10105345
5.10;337;;;179;10105346
4.90;338;;;180;10105346
5.70;339;;;181;10105347
5.90;340;;;182;10105347
6.60;339;;;183;10105348
6.40;340;;;184;10105348
5.40;339;;;185;10105349
5.30;340;;;186;10105349
5.70;339;;;187;10105350
5.80;340;;;188;10105350
3.80;337;;;189;10105351
4.10;338;;;190;10105351
6.00;339;;;191;10105352
5.90;340;;;192;10105352
5.60;339;;;193;10105353
5.60;340;;;194;10105353
5.60;339;;;195;10105354
5.10;340;;;196;10105354
5.80;339;;;197;10105355
6.00;340;;;198;10105355
6.90;339;;;199;10105356
6.80;340;;;200;10105356
5.40;339;;;201;10105357
5.70;340;;;202;10105357
5.00;347;;;203;10105358
4.80;348;;;204;10105358
5.30;347;;;205;10105359
6.20;347;;;206;10105360
5.70;348;;;207;10105360
5.60;347;;;208;10105361
5.70;348;;;209;10105361
4.60;353;;;210;10105363
3.90;354;;;211;10105363
6.20;357;;;212;10105364
5.70;358;;;213;10105364
5.80;369;;;214;10105365
5.60;370;;;215;10105365
4.40;377;;;216;10105368
2.50;378;;;217;10105368
4.90;369;;;218;10105369
5.10;370;;;219;10105369
4.90;373;;;220;10105370
4.80;374;;;221;10105370
5.60;347;;;222;10105372
5.40;348;;;223;10105372
3.60;340;;;224;10105373
4.50;347;;;225;10105375
6.10;348;;;226;10105375
6.10;339;;;227;10105376
6.00;340;;;228;10105376
4.70;343;;;229;10105377
5.40;344;;;230;10105377
5.80;343;;;231;10105378
5.40;344;;;232;10105378
5.60;357;;;233;10105379
5.70;358;;;234;10105379
5.20;377;;;235;10105380
5.60;378;;;236;10105380
4.40;369;;;237;10105381
5.60;381;;;238;10105382
5.80;382;;;239;10105382
6.10;339;;;240;10105384
6.20;340;;;241;10105384
5.90;339;;;242;10105385
6.00;340;;;243;10105385
6.60;339;;;244;10105386
6.70;340;;;245;10105386
6.30;337;;;246;10105387
6.50;338;;;247;10105387
5.60;337;;;248;10105388
5.00;338;;;249;10105388
6.50;337;;;250;10105389
6.40;338;;;251;10105389
5.50;337;;;252;10105390
5.00;338;;;253;10105390
5.30;337;;;254;10105392
5.40;337;;;255;10105393
5.30;338;;;256;10105393
6.10;337;;;257;10105394
6.10;338;;;258;10105394
5.80;337;;;259;10105395
5.10;338;;;260;10105395
6.00;337;;;261;10105396
6.00;338;;;262;10105396
5.10;337;;;263;10105397
4.70;338;;;264;10105397
6.80;337;;;265;10105398
6.50;338;;;266;10105398
6.50;337;;;267;10105399
6.50;338;;;268;10105399
6.00;337;;;269;10105400
5.90;338;;;270;10105400
5.50;339;;;271;10105403
5.60;340;;;272;10105403
6.10;337;;;273;10105404
5.70;338;;;274;10105404
6.60;337;;;275;10105405
6.60;338;;;276;10105405
6.20;333;;;277;10105406
5.90;334;;;278;10105406
5.50;337;;;279;10105407
5.60;338;;;280;10105407
5.10;333;;;281;10105408
4.40;334;;;282;10105408
6.30;333;;;283;10105409
6.00;334;;;284;10105409
5.40;333;;;285;10105410
5.50;334;;;286;10105410
6.00;333;;;287;10105411
6.10;334;;;288;10105411
6.20;333;;;289;10105412
6.40;334;;;290;10105412
5.60;333;;;291;10105413
5.70;334;;;292;10105413
6.00;333;;;293;10105414
6.00;334;;;294;10105414
6.30;333;;;295;10105415
6.40;334;;;296;10105415
6.10;333;;;297;10105417
5.80;334;;;298;10105417
6.30;333;;;299;10105418
6.20;334;;;300;10105418
5.50;333;;;301;10105419
5.10;334;;;302;10105419
5.20;329;;;303;10105420
5.20;330;;;304;10105420
6.10;333;;;305;10105421
6.10;334;;;306;10105421
6.20;333;;;307;10105422
6.00;334;;;308;10105422
5.90;333;;;309;10105423
5.90;334;;;310;10105423
5.80;339;;;311;10105424
5.60;340;;;312;10105424
5.60;337;;;313;10105425
4.80;338;;;314;10105425
5.40;343;;;315;10105426
5.50;344;;;316;10105426
5.40;343;;;317;10105427
5.60;344;;;318;10105427
5.10;343;;;319;10105428
6.00;344;;;320;10105428
5.90;353;;;321;10105429
6.20;354;;;322;10105429
5.00;355;;;323;10105430
5.60;356;;;324;10105430
5.30;351;;;325;10105431
4.80;352;;;326;10105431
5.00;347;;;327;10105438
5.50;348;;;328;10105438
5.10;333;;;329;10105439
5.70;334;;;330;10105439
6.00;333;;;331;10105440
6.10;334;;;332;10105440
5.50;355;;;333;10105444
5.80;356;;;334;10105444
6.00;329;;;335;10105446
5.80;330;;;336;10105446
5.40;329;;;337;10105448
5.10;330;;;338;10105448
6.00;329;;;339;10105449
5.10;330;;;340;10105449
6.20;329;;;341;10105450
6.20;330;;;342;10105450
6.30;329;;;343;10105451
6.10;330;;;344;10105451
6.40;329;;;345;10105452
6.00;330;;;346;10105452
5.70;329;;;347;10105453
5.60;330;;;348;10105453
5.90;329;;;349;10105454
6.00;330;;;350;10105454
6.10;329;;;351;10105455
6.20;330;;;352;10105455
5.80;329;;;353;10105456
6.10;330;;;354;10105456
6.50;330;;;355;10105457
5.60;329;;;356;10105458
5.70;330;;;357;10105458
6.20;329;;;358;10105459
5.80;330;;;359;10105459
5.60;329;;;360;10105460
5.80;330;;;361;10105460
5.20;329;;;362;10105461
5.00;330;;;363;10105461
5.40;329;;;364;10105462
5.50;330;;;365;10105462
5.90;329;;;366;10105463
5.50;330;;;367;10105463
6.50;329;;;368;10105464
6.70;330;;;369;10105464
5.80;333;;;370;10105466
5.60;334;;;371;10105466
5.50;333;;;372;10105467
5.60;334;;;373;10105467
4.70;333;;;374;10105468
4.40;334;;;375;10105468
5.80;333;;;376;10105469
5.40;334;;;377;10105469
5.40;333;;;378;10105470
5.80;334;;;379;10105470
5.80;337;;;380;10105471
5.50;338;;;381;10105471
6.10;337;;;382;10105472
5.90;338;;;383;10105472
4.60;337;;;384;10105473
4.90;338;;;385;10105473
5.90;337;;;386;10105474
5.80;338;;;387;10105474
5.70;339;;;388;10105475
5.80;340;;;389;10105475
5.00;337;;;390;10105476
5.00;338;;;391;10105476
6.40;343;;;392;10105477
5.70;344;;;393;10105477
5.70;347;;;394;10105478
5.50;348;;;395;10105478
4.10;353;;;396;10105479
4.90;354;;;397;10105479
4.90;357;;;398;10105480
5.40;358;;;399;10105480
6.20;369;;;400;10105481
5.90;370;;;401;10105481
4.50;325;;;402;10105489
4.50;326;;;403;10105489
4.70;325;;;404;10105490
4.70;326;;;405;10105490
6.40;325;;;406;10105491
6.40;326;;;407;10105491
5.60;325;;;408;10105492
5.80;326;;;409;10105492
5.00;325;;;410;10105493
6.20;326;;;411;10105493
6.50;325;;;412;10105494
6.60;326;;;413;10105494
6.70;325;;;414;10105495
6.70;326;;;415;10105495
6.60;325;;;416;10105496
6.80;326;;;417;10105496
6.10;325;;;418;10105497
6.50;326;;;419;10105497
5.60;325;;;420;10105498
5.90;326;;;421;10105498
5.80;325;;;422;10105499
6.00;326;;;423;10105499
6.10;325;;;424;10105500
6.10;326;;;425;10105500
6.50;325;;;426;10105501
6.60;326;;;427;10105501
6.20;325;;;428;10105502
6.60;326;;;429;10105502
6.50;325;;;430;10105504
6.60;326;;;431;10105504
6.70;329;;;432;10105506
6.60;330;;;433;10105506
6.70;329;;;434;10105508
6.40;330;;;435;10105508
5.70;337;;;436;10105510
5.30;338;;;437;10105510
5.50;337;;;438;10105511
5.30;338;;;439;10105511
5.70;347;;;440;10105512
6.20;348;;;441;10105512
4.30;377;;;442;10105513
4.70;378;;;443;10105513
6.00;373;;;444;10105514
5.80;374;;;445;10105514
4.60;373;;;446;10105515
4.50;374;;;447;10105515
6.40;373;;;448;10105516
6.20;374;;;449;10105516
6.30;325;;;450;10105519
6.20;326;;;451;10105519
6.20;343;;;452;10105520
6.00;344;;;453;10105520
5.40;325;;;454;10105521
5.70;326;;;455;10105521
5.60;325;;;456;10105523
6.30;326;;;457;10105523
5.70;325;;;458;10105524
6.10;326;;;459;10105524
6.80;321;;;460;10105525
6.60;322;;;461;10105525
6.50;321;;;462;10105526
6.40;322;;;463;10105526
6.50;321;;;464;10105527
6.20;322;;;465;10105527
6.20;321;;;466;10105528
5.70;322;;;467;10105528
6.60;321;;;468;10105529
5.90;322;;;469;10105529
6.90;321;;;470;10105530
6.80;322;;;471;10105530
6.20;325;;;472;10105531
6.50;326;;;473;10105531
5.30;333;;;474;10105533
5.40;334;;;475;10105533
5.20;333;;;476;10105534
5.20;334;;;477;10105534
5.50;339;;;478;10105535
5.00;340;;;479;10105535
5.50;343;;;480;10105537
4.80;344;;;481;10105537
5.00;351;;;482;10105540
4.50;352;;;483;10105540
5.80;369;;;484;10105541
5.60;370;;;485;10105541
5.70;369;;;486;10105542
5.30;370;;;487;10105542
4.30;355;;;488;10105543
4.90;356;;;489;10105543
4.60;369;;;490;10105544
4.90;370;;;491;10105544
5.70;369;;;492;10105545
5.20;370;;;493;10105545
4.30;355;;;494;10105546
4.60;356;;;495;10105546
6.70;369;;;496;10105547
6.50;370;;;497;10105547
5.60;369;;;498;10105548
5.30;370;;;499;10105548
5.30;369;;;500;10105549
5.70;370;;;501;10105549
4.80;369;;;502;10105551
5.60;370;;;503;10105551
5.30;377;;;504;10105552
5.60;378;;;505;10105552
5.40;369;;;506;10105553
5.40;370;;;507;10105553
4.90;377;;;508;10105554
5.40;378;;;509;10105554
4.20;373;;;510;10105555
3.80;373;;;511;10105556
4.20;381;;;512;10105557
6.10;382;;;513;10105557
6.50;321;;;514;10105561
6.30;322;;;515;10105561
6.30;329;;;516;10105562
6.70;330;;;517;10105562
5.60;347;;;518;10105563
5.50;348;;;519;10105563
6.20;321;;;520;10105564
5.80;322;;;521;10105564
6.20;329;;;522;10105565
5.40;330;;;523;10105565
6.40;329;;;524;10105567
5.70;330;;;525;10105567
6.10;333;;;526;10105568
6.30;334;;;527;10105568
6.10;337;;;528;10105569
5.90;338;;;529;10105569
6.20;339;;;530;10105570
6.40;340;;;531;10105570
5.90;347;;;532;10105571
5.80;348;;;533;10105571
4.70;355;;;534;10105572
5.20;356;;;535;10105572
4.00;357;;;536;10105573
4.70;358;;;537;10105573
5.60;381;;;538;10105574
5.70;382;;;539;10105574
5.20;339;;;540;10105579
5.60;340;;;541;10105579
6.10;377;;;542;10105580
6.00;378;;;543;10105580
5.10;347;;;544;10105581
5.30;348;;;545;10105581
4.40;377;;;546;10105582
5.00;378;;;547;10105582
5.90;337;;;548;10105584
5.50;338;;;549;10105584
5.50;339;;;550;10105585
5.30;340;;;551;10105585
5.60;355;;;552;10105586
5.60;356;;;553;10105586
5.60;343;;;554;10105587
5.90;344;;;555;10105587
5.30;351;;;556;10105588
5.20;352;;;557;10105588
5.00;321;;;558;10105589
5.00;322;;;559;10105589
4.90;337;;;560;10105590
4.00;338;;;561;10105590
5.10;339;;;562;10105591
5.70;340;;;563;10105591
5.90;337;;;564;10105592
5.70;338;;;565;10105592
6.70;321;;;566;10105593
6.40;322;;;567;10105593
6.20;321;;;568;10105595
5.60;322;;;569;10105595
5.80;347;;;570;10105596
4.50;348;;;571;10105596
4.50;355;;;572;10105597
4.90;356;;;573;10105597
5.90;325;;;574;10105600
6.00;326;;;575;10105600
4.10;337;;;576;10105601
5.30;347;;;577;10105602
5.20;348;;;578;10105602
6.00;357;;;579;10105603
5.90;358;;;580;10105603
5.10;357;;;581;10105604
5.00;358;;;582;10105604
5.40;377;;;583;10105605
5.70;378;;;584;10105605
6.10;381;;;585;10105607
6.40;382;;;586;10105607
5.90;321;;;587;10105608
5.50;322;;;588;10105608
5.20;325;;;589;10105611
5.60;326;;;590;10105611
5.80;325;;;591;10105612
6.10;326;;;592;10105612
5.30;337;;;593;10105613
5.50;338;;;594;10105613
5.10;357;;;595;10105614
5.10;358;;;596;10105614
5.90;369;;;597;10105615
6.10;370;;;598;10105615
5.20;325;;;599;10105619
5.80;326;;;600;10105619
5.00;325;;;601;10105620
5.60;326;;;602;10105620
6.60;325;;;603;10105621
6.70;326;;;604;10105621
5.10;329;;;605;10105623
5.50;330;;;606;10105623
4.80;343;;;607;10105625
5.00;344;;;608;10105625
5.50;357;;;609;10105626
5.40;358;;;610;10105626
5.00;357;;;611;10105627
5.40;358;;;612;10105627
5.40;381;;;613;10105628
5.20;382;;;614;10105628
6.60;325;;;615;10105629
6.70;326;;;616;10105629
6.00;369;;;617;10105630
6.30;370;;;618;10105630
6.40;347;;;619;10105631
6.20;348;;;620;10105631
5.90;337;;;621;10105633
6.00;338;;;622;10105633
5.60;339;;;623;10105635
5.20;340;;;624;10105635
5.10;339;;;625;10105636
5.00;340;;;626;10105636
5.50;343;;;627;10105637
5.50;344;;;628;10105637
4.70;347;;;629;10105638
5.10;348;;;630;10105638
5.20;351;;;631;10105639
5.30;352;;;632;10105639
3.20;353;;;633;10105640
2.40;354;;;634;10105640
5.10;355;;;635;10105641
5.20;356;;;636;10105641
5.40;355;;;637;10105642
5.30;356;;;638;10105642
5.00;355;;;639;10105643
5.30;356;;;640;10105643
5.10;355;;;641;10105644
5.30;356;;;642;10105644
4.80;355;;;643;10105645
5.10;356;;;644;10105645
6.50;325;;;645;10105646
6.50;326;;;646;10105646
5.70;321;;;647;10105647
6.20;322;;;648;10105647
6.80;339;;;649;10105648
6.80;340;;;650;10105648
5.50;343;;;651;10105649
5.00;344;;;652;10105649
5.30;347;;;653;10105652
5.70;348;;;654;10105652
4.50;347;;;655;10105653
5.30;348;;;656;10105653
5.50;351;;;657;10105654
5.40;352;;;658;10105654
5.20;351;;;659;10105655
5.40;352;;;660;10105655
3.30;355;;;661;10105656
5.40;355;;;662;10105657
5.70;356;;;663;10105657
5.70;355;;;664;10105658
5.80;356;;;665;10105658
5.20;355;;;666;10105660
5.10;356;;;667;10105660
4.90;353;;;668;10105661
4.90;354;;;669;10105661
4.70;355;;;670;10105662
5.10;356;;;671;10105662
5.70;357;;;672;10105663
6.00;358;;;673;10105663
6.00;357;;;674;10105664
6.10;358;;;675;10105664
5.00;357;;;676;10105665
5.50;358;;;677;10105665
5.20;357;;;678;10105666
5.60;358;;;679;10105666
5.10;357;;;680;10105667
5.60;358;;;681;10105667
5.10;357;;;682;10105669
5.40;358;;;683;10105669
4.70;369;;;684;10105671
5.30;370;;;685;10105671
5.20;377;;;686;10105672
5.40;378;;;687;10105672
5.60;369;;;688;10105674
5.80;370;;;689;10105674
6.10;381;;;690;10105675
6.40;382;;;691;10105675
6.10;381;;;692;10105676
6.30;382;;;693;10105676
5.60;381;;;694;10105677
5.70;382;;;695;10105677
5.70;381;;;696;10105678
5.70;382;;;697;10105678
5.70;381;;;698;10105679
5.50;382;;;699;10105679
5.90;355;;;700;10105680
6.10;356;;;701;10105680
5.20;381;;;702;10105681
5.30;382;;;703;10105681
5.70;381;;;704;10105682
5.80;382;;;705;10105682
5.60;325;;;706;10105683
5.90;326;;;707;10105683
5.40;343;;;708;10105684
4.90;344;;;709;10105684
5.70;333;;;710;10105685
5.60;334;;;711;10105685
5.60;325;;;712;10105688
6.20;326;;;713;10105688
5.60;321;;;714;10105692
5.10;322;;;715;10105692
5.40;325;;;716;10105693
5.10;326;;;717;10105693
5.20;325;;;718;10105694
5.80;326;;;719;10105694
5.80;343;;;720;10105695
5.50;344;;;721;10105695
5.00;351;;;722;10105696
5.40;352;;;723;10105696
5.90;355;;;724;10105697
5.50;356;;;725;10105697
4.60;355;;;726;10105698
5.30;357;;;727;10105702
5.40;358;;;728;10105702
4.80;357;;;729;10105703
5.20;358;;;730;10105703
5.90;355;;;731;10105704
6.20;356;;;732;10105704
5.40;373;;;733;10105705
2.40;374;;;734;10105705
5.70;325;;;735;10105706
5.30;326;;;736;10105706
5.60;337;;;737;10105707
4.80;338;;;738;10105707
5.70;339;;;739;10105708
5.80;340;;;740;10105708
6.60;325;;;741;10105712
6.40;326;;;742;10105712
5.30;355;;;743;10105714
5.50;356;;;744;10105714
5.50;381;;;745;10105715
5.30;382;;;746;10105715
5.40;325;;;747;10105716
5.70;326;;;748;10105716
5.90;321;;;749;10105717
5.20;322;;;750;10105717
4.20;321;;;751;10105719
3.00;322;;;752;10105719
5.00;337;;;753;10105723
4.90;338;;;754;10105723
5.10;321;;;755;10105728
5.40;353;;;756;10105729
5.80;354;;;757;10105729
3.90;351;;;758;10105731
3.70;352;;;759;10105731
4.30;353;;;760;10105734
6.30;343;;;761;10105747
4.60;344;;;762;10105747
5.50;343;;;763;10105748
5.60;344;;;764;10105748
4.20;343;;;765;10105749
5.10;344;;;766;10105749
4.80;347;;;767;10105750
4.70;348;;;768;10105750
5.40;347;;;769;10105751
5.80;348;;;770;10105751
6.00;347;;;771;10105752
5.70;348;;;772;10105752
5.50;347;;;773;10105753
5.90;348;;;774;10105753
5.60;347;;;775;10105755
5.10;348;;;776;10105755
5.50;351;;;777;10105756
4.90;352;;;778;10105756
5.20;353;;;779;10105759
5.60;354;;;780;10105759
4.70;353;;;781;10105760
4.90;354;;;782;10105760
4.90;353;;;783;10105761
5.50;354;;;784;10105761
5.20;353;;;785;10105762
5.80;354;;;786;10105762
5.00;357;;;787;10105763
5.30;358;;;788;10105763
5.80;351;;;789;10105764
5.90;352;;;790;10105764
3.10;377;;;791;10105765
1.00;378;;;792;10105765
5.70;321;;;793;10105766
5.70;322;;;794;10105766
5.80;325;;;795;10105767
6.10;326;;;796;10105767
1.60;369;;;797;10105768
4.30;353;;;798;10105769
6.00;354;;;799;10105769
4.80;357;;;800;10105770
4.80;358;;;801;10105770
5.10;353;;;802;10105772
5.50;354;;;803;10105772
4.50;353;;;804;10105773
5.00;354;;;805;10105773
5.00;339;;;806;10105774
5.50;340;;;807;10105774
6.70;321;;;808;10105777
6.70;322;;;809;10105777
4.70;321;;;810;10105778
4.80;322;;;811;10105778
5.20;343;;;812;10105779
4.80;344;;;813;10105779
6.10;351;;;814;10105782
5.70;352;;;815;10105782
4.80;351;;;816;10105783
5.00;352;;;817;10105783
6.00;351;;;818;10105784
5.90;352;;;819;10105784
5.30;351;;;820;10105785
5.00;352;;;821;10105785
5.10;353;;;822;10105786
5.20;353;;;823;10105787
5.40;354;;;824;10105787
4.00;353;;;825;10105788
5.00;354;;;826;10105788
4.40;351;;;827;10105790
4.30;352;;;828;10105790
6.40;351;;;829;10105791
6.40;352;;;830;10105791
4.90;355;;;831;10105792
5.50;356;;;832;10105792
4.10;353;;;833;10105793
5.10;354;;;834;10105793
4.00;351;;;835;10105794
4.80;352;;;836;10105794
5.90;325;;;837;10105796
6.10;326;;;838;10105796
4.40;347;;;839;10105798
4.60;348;;;840;10105798
5.00;353;;;841;10105799
5.10;354;;;842;10105799
4.30;353;;;843;10105800
4.10;354;;;844;10105800
3.90;351;;;845;10105801
4.20;352;;;846;10105801
3.60;353;;;847;10105802
3.90;354;;;848;10105802
5.40;321;;;849;10105803
5.70;322;;;850;10105803
5.50;357;;;851;10105804
5.80;358;;;852;10105804
5.70;325;;;853;10105805
5.90;326;;;854;10105805
4.30;369;;;855;10105806
5.50;370;;;856;10105806
6.20;321;;;857;10105810
6.50;322;;;858;10105810
6.40;321;;;859;10105811
6.30;322;;;860;10105811
5.00;337;;;861;10105813
5.40;338;;;862;10105813
5.50;343;;;863;10105816
6.20;344;;;864;10105816
4.70;347;;;865;10105817
5.00;348;;;866;10105817
4.60;347;;;867;10105818
4.70;348;;;868;10105818
4.10;353;;;869;10105819
5.30;354;;;870;10105819
3.40;354;;;871;10105820
4.40;353;;;872;10105821
4.90;354;;;873;10105821
5.10;351;;;874;10105822
4.50;352;;;875;10105822
4.80;377;;;876;10105823
5.60;378;;;877;10105823
6.60;321;;;878;10105824
6.70;322;;;879;10105824
4.40;353;;;880;10105825
4.70;354;;;881;10105825
5.20;353;;;882;10105826
4.70;354;;;883;10105826
6.50;321;;;884;10105827
6.50;322;;;885;10105827
5.50;351;;;886;10105828
6.00;352;;;887;10105828
5.80;333;;;888;10105830
6.00;334;;;889;10105830
5.50;337;;;890;10105831
5.20;338;;;891;10105831
4.90;357;;;892;10105833
5.30;358;;;893;10105833
5.10;347;;;894;10105834
4.60;348;;;895;10105834
5.30;351;;;896;10105835
5.30;352;;;897;10105835
4.90;351;;;898;10105837
5.00;352;;;899;10105837
6.50;329;;;900;10105838
6.30;330;;;901;10105838
4.00;351;;;902;10105839
5.60;325;;;903;10105841
5.70;326;;;904;10105841
6.10;343;;;905;10105842
6.10;344;;;906;10105842
4.50;351;;;907;10105843
4.80;352;;;908;10105843
5.10;353;;;909;10105844
5.70;354;;;910;10105844
5.20;329;;;911;10105845
5.20;330;;;912;10105845
6.00;329;;;913;10105846
5.50;330;;;914;10105846
6.60;329;;;915;10105847
6.80;330;;;916;10105847
4.30;321;;;917;10105848
3.10;322;;;918;10105848
6.50;321;;;919;10105849
5.90;322;;;920;10105849
5.40;333;;;921;10105850
5.00;334;;;922;10105850
5.10;343;;;923;10105851
5.20;344;;;924;10105851
6.10;321;;;925;10105852
6.30;322;;;926;10105852
1.90;369;;;927;10105856
6.50;321;;;928;10105857
6.20;322;;;929;10105857
4.60;333;;;930;10105860
4.30;334;;;931;10105860
4.00;351;;;932;10105861
4.60;352;;;933;10105861
5.70;381;;;934;10105862
5.50;382;;;935;10105862
5.80;381;;;936;10105863
5.90;382;;;937;10105863
5.10;343;;;938;10105864
4.20;344;;;939;10105864
5.60;357;;;940;10105867
5.70;358;;;941;10105867
5.90;351;;;942;10105868
6.20;352;;;943;10105868
3.80;339;;;944;10105869
3.90;340;;;945;10105869
4.40;369;;;946;10105870
4.90;377;;;947;10105872
5.80;378;;;948;10105872
5.30;377;;;949;10105873
5.70;378;;;950;10105873
5.00;377;;;951;10105874
5.70;378;;;952;10105874
5.00;381;;;953;10105875
1.00;382;;;954;10105875
5.90;351;;;955;10105876
5.50;352;;;956;10105876
6.10;325;;;957;10105877
6.20;326;;;958;10105877
5.70;347;;;959;10105878
4.70;348;;;960;10105878
5.10;351;;;961;10105880
5.00;352;;;962;10105880
5.50;329;;;963;10105882
6.00;330;;;964;10105882
5.90;339;;;965;10105883
5.50;340;;;966;10105883
5.80;347;;;967;10105887
4.80;348;;;968;10105887
6.30;333;;;969;10105888
4.80;334;;;970;10105888
6.30;325;;;971;10105890
6.30;326;;;972;10105890
6.30;333;;;973;10105891
6.40;334;;;974;10105891
