ContributionPercentage;FullTimeEquivalency;HighlyQualifiedTeacherIndicator;ItinerantTeacher;PrimaryAssignment;RecordEndDateTime;RecordStartDateTime;RefClassroomPositionTypeId;RefK12StaffClassificationId;RefMepStaffCategoryId;RefProfessionalEducationJobClassificationId;RefSpecialEducationAgeGroupTaughtId;RefSpecialEducationStaffCategoryId;RefTeachingAssignmentRoleId;RefTitleIProgramStaffCategoryId;SpecialEducationParaprofessional;SpecialEducationRelatedServicesPersonnel;SpecialEducationTeacher;TeacherOfRecord;OrganizationPersonRoleId
;;;;;;;;7;;10;;;2;;;;;;2020318330
;;;;;;;;7;;10;;;2;;;;;;2020318430
;;;;;;;;7;;10;;;2;;;;;;2020287831
;;;;;;;;7;;10;;;2;;;;;;2020288031
;;;;;;;;7;;10;;;2;;;;;;2020288131
;;;;;;;;7;;10;;;2;;;;;;2020288331
;;;;;;;;7;;10;;;2;;;;;;2020288531
;;;;;;;;7;;10;;;2;;;;;;2020288731
;;;;;;;;7;;10;;;2;;;;;;2020314335
;;;;;;;;7;;10;;;2;;;;;;2020314535
;;;;;;;;7;;10;;;2;;;;;;2020315935
;;;;;;;;7;;10;;;2;;;;;;2020316035
;;;;;;;;7;;10;;;2;;;;;;2020316135
;;;;;;;;7;;10;;;2;;;;;;2020287237
;;;;;;;;7;;10;;;2;;;;;;2020287337
;;;;;;;;7;;10;;;2;;;;;;2020287437
;;;;;;;;7;;10;;;2;;;;;;2020289138
;;;;;;;;7;;10;;;2;;;;;;2020290138
;;;;;;;;7;;10;;;2;;;;;;2020291638
;;;;;;;;7;;10;;;2;;;;;;2020293138
;;;;;;;;7;;10;;;2;;;;;;2020294538
;;;;;;;;7;;10;;;2;;;;;;2020297238
;;;;;;;;7;;10;;;2;;;;;;2020299838
;;;;;;;;7;;10;;;2;;;;;;2020302438
;;;;;;;;7;;10;;;2;;;;;;2020303638
;;;;;;;;7;;10;;;2;;;;;;2020304838
;;;;;;;;7;;10;;;2;;;;;;2020306038
;;;;;;;;7;;10;;;2;;;;;;2020302839
;;;;;;;;7;;10;;;2;;;;;;2020304039
;;;;;;;;7;;10;;;2;;;;;;2020305239
;;;;;;;;7;;10;;;2;;;;;;2020306439
;;;;;;;;7;;10;;;2;;;;;;2020306639
;;;;;;;;7;;10;;;2;;;;;;2020314939
;;;;;;;;7;;10;;;2;;;;;;2020316339
;;;;;;;;7;;10;;;2;;;;;;2020317739
;;;;;;;;7;;10;;;2;;;;;;2020288252
;;;;;;;;7;;10;;;2;;;;;;2020289252
;;;;;;;;7;;10;;;2;;;;;;2020290252
;;;;;;;;7;;10;;;2;;;;;;2020291752
;;;;;;;;7;;10;;;2;;;;;;2020293252
;;;;;;;;7;;10;;;2;;;;;;2020294652
;;;;;;;;7;;10;;;2;;;;;;2020297352
;;;;;;;;7;;10;;;2;;;;;;2020299952
;;;;;;;;7;;10;;;2;;;;;;2020302552
;;;;;;;;7;;10;;;2;;;;;;2020303752
;;;;;;;;7;;10;;;2;;;;;;2020304952
;;;;;;;;7;;10;;;2;;;;;;2020306152
;;;;;;;;7;;10;;;2;;;;;;2020320852
;;;;;;;;2;;14;;;2;;;;;;2020293753
;;;;;;;;2;;14;;;2;;;;;;2020295153
;;;;;;;;2;;14;;;2;;;;;;2020297753
;;;;;;;;2;;14;;;2;;;;;;2020300353
;;;;;;;;2;;14;;;2;;;;;;2020313653
;;;;;;;;2;;14;;;2;;;;;;2020319253
;;;;;;;;2;;14;;;2;;;;;;2020319353
;;;;;;;;2;;14;;;2;;;;;;2020319453
;;;;;;;;2;;14;;;2;;;;;;2020319553
;;;;;;;;2;;14;;;2;;;;;;2020319653
;;;;;;;;2;;14;;;2;;;;;;2020319753
;;;;;;;;2;;14;;;2;;;;;;2020319853
;;;;;;;;7;;10;;;2;;;;;;2020288655
;;;;;;;;7;;10;;;2;;;;;;2020293655
;;;;;;;;7;;10;;;2;;;;;;2020295055
;;;;;;;;7;;10;;;2;;;;;;2020297655
;;;;;;;;7;;10;;;2;;;;;;2020300255
;;;;;;;;7;;10;;;2;;;;;;2020302755
;;;;;;;;7;;10;;;2;;;;;;2020303955
;;;;;;;;7;;10;;;2;;;;;;2020305155
;;;;;;;;7;;10;;;2;;;;;;2020306355
;;;;;;;;7;;10;;;2;;;;;;2020313855
;;;;;;;;7;;10;;;2;;;;;;2020316555
;;;;;;;;7;;10;;;2;;;;;;2020317159
;;;;;;;;7;;10;;;2;;;;;;2020317259
;;;;;;;;7;;10;;;2;;;;;;2020317359
;;;;;;;;7;;10;;;2;;;;;;2020318159
;;;;;;;;7;;10;;;2;;;;;;2020318659
;;;;;;;;7;;10;;;2;;;;;;2020302972
;;;;;;;;7;;10;;;2;;;;;;2020304172
;;;;;;;;7;;10;;;2;;;;;;2020305372
;;;;;;;;7;;10;;;2;;;;;;2020305472
;;;;;;;;7;;10;;;2;;;;;;2020306572
;;;;;;;;7;;10;;;2;;;;;;2020288874
;;;;;;;;7;;10;;;2;;;;;;2020289074
;;;;;;;;7;;10;;;2;;;;;;2020289374
;;;;;;;;7;;10;;;2;;;;;;2020289474
;;;;;;;;7;;10;;;2;;;;;;2020289574
;;;;;;;;7;;10;;;2;;;;;;2020289674
;;;;;;;;7;;10;;;2;;;;;;2020289774
;;;;;;;;7;;10;;;2;;;;;;2020290777
;;;;;;;;7;;10;;;2;;;;;;2020292277
;;;;;;;;7;;10;;;2;;;;;;2020286681
;;;;;;;;7;;10;;;2;;;;;;2020286781
;;;;;;;;7;;10;;;2;;;;;;2020286881
;;;;;;;;7;;10;;;2;;;;;;2020313582
;;;;;;;;7;;10;;;2;;;;;;2020314482
;;;;;;;;7;;10;;;2;;;;;;2020314682
;;;;;;;;7;;10;;;2;;;;;;2020314782
;;;;;;;;7;;10;;;2;;;;;;2020314882
;;;;;;;;7;;10;;;2;;;;;;2020315582
;;;;;;;;7;;10;;;2;;;;;;2020315682
;;;;;;;;7;;10;;;2;;;;;;2020315782
;;;;;;;;7;;10;;;2;;;;;;2020315882
;;;;;;;;7;;10;;;2;;;;;;2020319182
;;;;;;;;7;;10;;;2;;;;;;2020321083
;;;;;;;;7;;10;;;2;;;;;;2020321283
;;;;;;;;7;;10;;;2;;;;;;2020319984
;;;;;;;;7;;10;;;2;;;;;;2020320084
;;;;;;;;7;;10;;;2;;;;;;2020320184
;;;;;;;;7;;10;;;2;;;;;;2020320284
;;;;;;;;7;;10;;;2;;;;;;2020320384
;;;;;;;;7;;10;;;2;;;;;;2020320484
;;;;;;;;7;;10;;;2;;;;;;2020320584
;;;;;;;;7;;10;;;2;;;;;;2020320684
;;;;;;;;7;;10;;;2;;;;;;2020320784
