HonorDescription;RecordEndDateTime;RecordStartDateTime;RefAcademicHonorTypeId;K12StudentAcademicHonorId;OrganizationPersonRoleId
;;;1;221;10105515
;;;1;222;10105516
;;;1;223;10105519
;;;1;224;10105520
;;;1;225;10105521
;;;1;226;10105523
;;;1;227;10105524
;;;1;228;10105525
;;;1;229;10105526
;;;1;230;10105527
;;;1;231;10105528
;;;1;232;10105529
;;;1;233;10105530
;;;1;234;10105531
;;;1;235;10105533
;;;1;236;10105534
;;;1;237;10105535
;;;1;238;10105537
;;;1;239;10105540
;;;1;240;10105541
;;;1;241;10105542
;;;1;242;10105543
;;;1;243;10105544
;;;1;244;10105545
;;;1;245;10105546
;;;1;246;10105547
;;;1;247;10105548
;;;1;248;10105549
;;;1;249;10105551
;;;1;250;10105552
;;;1;251;10105553
;;;1;252;10105554
;;;1;253;10105555
;;;1;254;10105557
;;;1;255;10105561
;;;1;256;10105562
;;;1;257;10105563
;;;1;258;10105564
;;;1;259;10105565
;;;1;260;10105567
;;;1;261;10105568
;;;1;262;10105569
;;;1;263;10105570
;;;1;264;10105571
;;;1;265;10105572
;;;1;266;10105573
;;;1;267;10105574
;;;1;268;10105579
;;;1;269;10105580
;;;1;270;10105581
;;;1;271;10105582
;;;1;272;10105584
;;;1;273;10105585
;;;1;274;10105586
;;;1;275;10105587
;;;1;276;10105588
;;;1;277;10105589
;;;1;278;10105590
;;;1;279;10105591
;;;1;280;10105592
;;;1;281;10105593
;;;1;282;10105595
;;;1;283;10105596
;;;1;284;10105597
;;;1;285;10105600
;;;1;286;10105601
;;;1;287;10105602
;;;1;288;10105603
;;;1;289;10105604
;;;1;290;10105605
;;;1;291;10105607
;;;1;292;10105608
;;;1;293;10105611
;;;1;294;10105612
;;;1;295;10105613
;;;1;296;10105614
;;;1;297;10105615
;;;1;298;10105619
;;;1;299;10105620
;;;1;300;10105621
;;;1;301;10105623
;;;1;302;10105625
;;;1;303;10105626
;;;1;304;10105627
;;;1;305;10105628
;;;1;306;10105629
;;;1;307;10105630
;;;1;308;10105631
;;;1;309;10105633
;;;1;310;10105635
;;;1;311;10105636
;;;1;312;10105637
;;;1;313;10105638
;;;1;314;10105639
;;;1;315;10105641
;;;1;316;10105642
;;;1;317;10105643
;;;1;318;10105644
;;;1;319;10105645
;;;1;320;10105646
;;;1;321;10105647
;;;1;322;10105648
;;;1;323;10105649
;;;1;324;10105652
;;;1;325;10105653
;;;1;326;10105654
;;;1;327;10105655
;;;1;328;10105657
;;;1;329;10105658
;;;1;330;10105660
;;;1;331;10105661
;;;1;332;10105662
;;;1;333;10105663
;;;1;334;10105664
;;;1;335;10105665
;;;1;336;10105666
;;;1;337;10105667
;;;1;338;10105669
;;;1;339;10105671
;;;1;340;10105672
;;;1;341;10105674
;;;1;342;10105675
;;;1;343;10105676
;;;1;344;10105677
;;;1;345;10105678
;;;1;346;10105679
;;;1;347;10105680
;;;1;348;10105681
;;;1;349;10105682
;;;1;350;10105683
;;;1;351;10105684
;;;1;352;10105685
;;;1;353;10105688
;;;1;354;10105692
;;;1;355;10105693
;;;1;356;10105694
;;;1;357;10105695
;;;1;358;10105696
;;;1;359;10105697
;;;1;360;10105698
;;;1;361;10105702
;;;1;362;10105703
;;;1;363;10105704
;;;1;364;10105706
;;;1;365;10105707
;;;1;366;10105708
;;;1;367;10105712
;;;1;368;10105714
;;;1;369;10105715
;;;1;370;10105716
;;;1;371;10105717
;;;1;372;10105723
;;;1;373;10105728
;;;1;374;10105729
;;;1;375;10105734
;;;1;376;10105747
;;;1;377;10105748
;;;1;378;10105749
;;;1;379;10105750
;;;1;380;10105751
;;;1;381;10105752
;;;1;382;10105753
;;;1;383;10105755
;;;1;384;10105756
;;;1;385;10105759
;;;1;386;10105760
;;;1;387;10105761
;;;1;388;10105762
;;;1;389;10105763
;;;1;390;10105764
;;;1;391;10105766
;;;1;392;10105767
;;;1;393;10105769
;;;1;394;10105770
;;;1;395;10105772
;;;1;396;10105773
;;;1;397;10105774
;;;1;398;10105777
;;;1;399;10105778
;;;1;400;10105779
;;;1;401;10105782
;;;1;402;10105783
;;;1;403;10105784
;;;1;404;10105785
;;;1;405;10105786
;;;1;406;10105787
;;;1;407;10105788
;;;1;408;10105790
;;;1;409;10105791
;;;1;410;10105792
;;;1;411;10105793
;;;1;412;10105794
;;;1;413;10105796
;;;1;414;10105797
;;;1;415;10105798
;;;1;416;10105799
;;;1;417;10105800
;;;1;418;10105801
;;;1;419;10105803
;;;1;420;10105804
;;;1;421;10105805
;;;1;422;10105806
;;;1;423;10105810
;;;1;424;10105811
;;;1;425;10105813
;;;1;426;10105816
;;;1;427;10105817
;;;1;428;10105818
;;;1;429;10105819
;;;1;430;10105821
;;;1;431;10105822
;;;1;432;10105823
;;;1;433;10105824
;;;1;434;10105825
;;;1;435;10105826
;;;1;436;10105827
;;;1;437;10105828
;;;1;438;10105830
;;;1;439;10105831
;;;1;440;10105833
;;;1;441;10105834
;;;1;442;10105835
;;;1;443;10105837
;;;1;444;10105838
;;;1;445;10105841
;;;1;446;10105842
;;;1;447;10105843
;;;1;448;10105844
;;;1;449;10105845
;;;1;450;10105846
;;;1;451;10105847
;;;1;452;10105848
;;;1;453;10105849
;;;1;454;10105850
;;;1;455;10105851
;;;1;456;10105852
;;;1;457;10105857
;;;1;458;10105860
;;;1;459;10105861
;;;1;460;10105862
;;;1;461;10105863
;;;1;462;10105864
;;;1;463;10105867
;;;1;464;10105868
;;;1;465;10105870
;;;1;466;10105872
;;;1;467;10105873
;;;1;468;10105874
;;;1;469;10105875
;;;1;470;10105876
;;;1;471;10105877
;;;1;472;10105878
;;;1;473;10105880
;;;1;474;10105882
;;;1;475;10105883
;;;1;476;10105887
;;;1;477;10105888
;;;1;478;10105890
;;;1;479;10105891
